target,steps,waste,sample,buffer
641,10,3,2,3
641,10,3,3,2
642,9,3,2,3
642,9,3,3,2
643,10,3,2,3
643,10,3,3,2
644,8,3,2,3
644,8,3,3,2
645,10,3,2,3
645,10,3,3,2
646,9,3,2,3
646,9,3,3,2
647,10,3,2,3
647,10,3,3,2
648,7,3,2,3
648,7,3,3,2
649,10,3,2,3
649,10,3,3,2
650,9,3,2,3
650,9,3,3,2
651,10,3,2,3
651,10,3,3,2
652,8,3,2,3
652,8,3,3,2
653,10,3,2,3
653,10,3,3,2
654,9,3,2,3
654,9,3,3,2
655,10,3,3,2
655,10,4,2,4
656,6,3,2,3
656,6,3,3,2
657,10,3,2,3
657,10,3,3,2
658,9,3,2,3
658,9,3,3,2
659,10,3,2,3
659,10,3,3,2
660,8,3,2,3
660,8,3,3,2
661,10,3,2,3
661,10,3,3,2
662,9,3,2,3
662,9,3,3,2
663,10,3,2,3
663,10,3,3,2
664,7,3,2,3
664,7,3,3,2
665,10,3,3,2
665,10,4,2,4
666,9,3,3,2
666,9,4,2,4
667,10,3,3,2
667,10,4,2,4
668,8,3,2,3
668,8,3,3,2
669,10,3,3,2
669,10,4,2,4
670,9,3,3,2
670,9,4,2,4
671,10,3,3,2
671,10,4,2,4
672,5,1,2,1
673,10,3,3,2
673,10,4,2,4
674,9,3,3,2
674,9,4,2,4
675,10,3,3,2
675,10,4,2,4
676,8,3,3,2
676,8,4,2,4
677,10,3,3,2
677,10,4,2,4
678,9,3,3,2
678,9,4,2,4
679,10,3,3,2
679,10,4,2,4
680,7,1,2,1
681,10,3,3,2
681,10,5,2,5
682,9,1,2,1
683,10,1,2,1
684,8,1,2,1
685,10,3,3,2
685,10,4,5,1
686,9,3,3,2
686,9,4,5,1
687,10,3,3,2
687,10,4,5,1
688,6,1,2,1
689,10,3,3,2
689,10,4,5,1
690,9,3,3,2
690,9,3,4,1
691,10,3,3,2
691,10,4,5,1
692,8,3,3,2
692,8,3,4,1
693,10,3,3,2
693,10,3,4,1
694,9,3,3,2
694,9,3,4,1
695,10,3,3,2
695,10,3,4,1
696,7,3,3,2
696,7,3,4,1
697,10,3,3,2
697,10,3,4,1
698,9,3,3,2
698,9,3,4,1
699,10,3,3,2
699,10,3,4,1
700,8,3,3,2
700,8,3,4,1
701,10,3,3,2
701,10,3,4,1
702,9,3,3,2
702,9,3,4,1
703,10,3,3,2
703,10,3,4,1
704,4,1,2,1
705,10,3,3,2
705,10,3,4,1
706,9,3,3,2
706,9,3,4,1
707,10,3,3,2
707,10,3,4,1
708,8,3,3,2
708,8,3,4,1
709,10,3,3,2
709,10,3,4,1
710,9,3,3,2
710,9,3,4,1
711,10,3,3,2
711,10,3,4,1
712,7,2,3,1
713,10,3,3,2
713,10,3,4,1
714,9,3,3,2
714,9,3,4,1
715,10,3,3,2
